taxonomy_id,source_id,relationship,target_id
NDT-0.1.0C-NDP-seed,NEI-root,parent_of,NDT-p3wupm
NDT-0.1.0C-NDP-seed,NEI-root,parent_of,NDT-o4kzv6
NDT-0.1.0C-NDP-seed,NEI-root,parent_of,NDT-d4vwtp
NDT-0.1.0C-NDP-seed,NEI-root,parent_of,NDT-cqb523
NDT-0.1.0C-NDP-seed,NEI-root,parent_of,NDT-gwkyu4
NDT-0.1.0C-NDP-seed,NEI-root,parent_of,NDT-fe7di5
NDT-0.1.0C-NDP-seed,NEI-root,parent_of,NDT-mcvv7l
NDT-0.1.0C-NDP-seed,NEI-root,parent_of,NDT-z57uk7
NDT-0.1.0C-NDP-seed,NEI-root,parent_of,NDT-fuctyf
NDT-0.1.0C-NDP-seed,NEI-root,parent_of,NDT-6ji4xt
NDT-0.1.0C-NDP-seed,NEI-root,parent_of,NDT-3h2fny
NDT-0.1.0C-NDP-seed,NEI-root,parent_of,NDT-qawrjs
NDT-0.1.0C-NDP-seed,NEI-root,parent_of,NDT-z4wtbl
NDT-0.1.0C-NDP-seed,NEI-root,parent_of,NDT-bw4uzj
NDT-0.1.0C-NDP-seed,NEI-root,parent_of,NDT-wnu65q
NDT-0.1.0C-NDP-seed,NDT-p3wupm,contains,NDI-ypwtie
NDT-0.1.0C-NDP-seed,NDT-p3wupm,contains,NDI-kjsiny
NDT-0.1.0C-NDP-seed,NDT-p3wupm,contains,NDI-mubms7
NDT-0.1.0C-NDP-seed,NDT-p3wupm,contains,NDI-g4gu4o
NDT-0.1.0C-NDP-seed,NDT-wnu65q,contains,NDI-ypwtie
NDT-0.1.0C-NDP-seed,NDT-wnu65q,contains,NDI-kjsiny
NDT-0.1.0C-NDP-seed,NDT-wnu65q,contains,NDI-mubms7
NDT-0.1.0C-NDP-seed,NDT-wnu65q,contains,NDI-g4gu4o
NDT-0.1.0C-NDP-seed,NDT-o4kzv6,contains,NDI-v3a4ss
NDT-0.1.0C-NDP-seed,NDT-o4kzv6,contains,NDI-fb7h5v
NDT-0.1.0C-NDP-seed,NDT-o4kzv6,contains,NDI-fumd3q
NDT-0.1.0C-NDP-seed,NDT-o4kzv6,contains,NDI-oosjha
NDT-0.1.0C-NDP-seed,NDT-o4kzv6,contains,NDI-g4e5z4
NDT-0.1.0C-NDP-seed,NDT-6ji4xt,contains,NDI-fumd3q
NDT-0.1.0C-NDP-seed,NDT-6ji4xt,contains,NDI-g4e5z4
NDT-0.1.0C-NDP-seed,NDT-6ji4xt,contains,NDI-vfm7gb
NDT-0.1.0C-NDP-seed,NDT-d4vwtp,contains,NDI-x77aga
NDT-0.1.0C-NDP-seed,NDT-d4vwtp,contains,NDI-iuc2r5
NDT-0.1.0C-NDP-seed,NDT-d4vwtp,contains,NDI-sxflss
NDT-0.1.0C-NDP-seed,NDT-cqb523,contains,NDI-su335j
NDT-0.1.0C-NDP-seed,NDT-cqb523,contains,NDI-ow2t74
NDT-0.1.0C-NDP-seed,NDT-cqb523,contains,NDI-sxflss
NDT-0.1.0C-NDP-seed,NDT-gwkyu4,contains,NDI-mmp2kt
NDT-0.1.0C-NDP-seed,NDT-gwkyu4,contains,NDI-ydxjih
NDT-0.1.0C-NDP-seed,NDT-gwkyu4,contains,NDI-edqojx
NDT-0.1.0C-NDP-seed,NDT-fe7di5,contains,NDI-xtjoiv
NDT-0.1.0C-NDP-seed,NDT-fe7di5,contains,NDI-teuy7w
NDT-0.1.0C-NDP-seed,NDT-mcvv7l,contains,NDI-w2b3yw
NDT-0.1.0C-NDP-seed,NDT-mcvv7l,contains,NDI-jluxp4
NDT-0.1.0C-NDP-seed,NDT-mcvv7l,contains,NDI-edqojx
NDT-0.1.0C-NDP-seed,NDT-z57uk7,contains,NDI-g7i2ad
NDT-0.1.0C-NDP-seed,NDT-fuctyf,contains,NDI-yatlql
NDT-0.1.0C-NDP-seed,NDT-fuctyf,contains,NDI-g7i2ad
NDT-0.1.0C-NDP-seed,NDT-3h2fny,contains,NDI-yz5v2j
NDT-0.1.0C-NDP-seed,NDT-qawrjs,contains,NDI-rftx3v
NDT-0.1.0C-NDP-seed,NDT-z4wtbl,contains,NDI-qqcvqh
NDT-0.1.0C-NDP-seed,NDT-z4wtbl,contains,NDI-xqahn3
NDT-0.1.0C-NDP-seed,NDT-z4wtbl,contains,NDI-wdawm6
NDT-0.1.0C-NDP-seed,NDT-z4wtbl,contains,NDI-lhkpps
NDT-0.1.0C-NDP-seed,NDI-ypwtie,related_to,NDI-kjsiny
NDT-0.1.0C-NDP-seed,NDI-x77aga,mitigates,NDI-wdawm6
NDT-0.1.0C-NDP-seed,NDI-xtjoiv,mitigates,NDI-lhkpps
NDT-0.1.0C-NDP-seed,NDI-fb7h5v,mitigates,NDI-xqahn3
NDT-0.1.0C-NDP-seed,NDI-fumd3q,mitigates,NDI-xqahn3
NDT-0.1.0C-NDP-seed,NDI-su335j,mitigates,NDI-wdawm6
NDT-0.1.0C-NDP-seed,NDI-edqojx,related_to,NDI-mmp2kt
NDT-0.1.0C-NDP-seed,NDI-yz5v2j,related_to,NDI-rftx3v
NDT-0.1.0C-NDP-seed,NDI-qqcvqh,related_to,NDI-ypwtie
NDT-0.1.0C-NDP-seed,NDI-qqcvqh,related_to,NDI-kjsiny
NDT-0.1.0C-NDP-seed,NDI-xqahn3,related_to,NDI-fb7h5v
NDT-0.1.0C-NDP-seed,NDI-xqahn3,related_to,NDI-fumd3q
NDT-0.1.0C-NDP-seed,NDI-wdawm6,related_to,NDI-x77aga
NDT-0.1.0C-NDP-seed,NDI-wdawm6,related_to,NDI-su335j
NDT-0.1.0C-NDP-seed,NDI-lhkpps,related_to,NDI-xtjoiv
NDT-0.1.0C-NDP-seed,NDI-iuc2r5,mitigates,NDI-wdawm6
NDT-0.1.0C-NDP-seed,NDI-ow2t74,mitigates,NDI-wdawm6
NDT-0.1.0C-NDP-seed,NDI-g4e5z4,reinforces,NDI-fumd3q
NDT-0.1.0C-NDP-seed,NDI-g4e5z4,reinforces,NDI-fb7h5v
NDT-0.1.0C-NDP-seed,NDI-mmp2kt,related_to,NDI-ydxjih
NDT-0.1.0C-NDP-seed,NDI-w2b3yw,related_to,NDI-jluxp4
NDT-0.1.0C-NDP-seed,NDI-v3a4ss,related_to,NDI-fumd3q
NDT-0.1.0C-NDP-seed,NDI-su335j,depends_on,NDI-x77aga
NDT-0.1.0C-NDP-seed,NDI-ow2t74,depends_on,NDI-x77aga
